"";"ID";"Day";"SHAPE";"FIR";"ROI_Entry";"ROI_Exit";"error";"H0_Count";"Strategy";"Latency"
"...1";"3931cropped";"D1";"H0";57;2080;2148;9;1;"Serial";69,3333333333333
"...2";"8515cropped";"D1";"H0";16;441;457;16;9;"Mixed";14,7
"...3";"8910cropped";"D1";"H0";71;254;343;3;1;"Serial";8,46666666666667
"NA...4";"8930cropped";"D1";NA;NA;NA;NA;NA;0;"none";NA
"...5";"3931cropped";"D2";"H0";112;606;737;5;1;"Mixed";20,2
"...6";"8515cropped";"D2";"H0";35;260;295;6;12;"Serial";8,66666666666667
"...7";"8910cropped";"D2";"H0";91;82;187;2;2;"Mixed";2,73333333333333
"...8";"8930cropped";"D2";"H0";95;4081;4247;11;2;"Mixed";136,033333333333
"...9";"3931cropped";"D3";"H0";153;3148;3335;9;1;"Serial";104,933333333333
"...10";"8515cropped";"D3";"H0";102;1486;1631;11;8;"Mixed";49,5333333333333
"...11";"8910cropped";"D3";"H0";74;545;749;15;2;"Serial";18,1666666666667
"NA...12";"8930cropped";"D3";NA;NA;NA;NA;NA;0;"none";NA
"...13";"3931cropped";"D4";"H0";127;924;1099;8;1;"Mixed";30,8
"...14";"8515cropped";"D4";"H0";69;448;519;10;11;"Serial";14,9333333333333
"...15";"8910cropped";"D4";"H0";59;89;157;2;1;"Mixed";2,96666666666667
"...16";"8930cropped";"D4";"H0";188;763;1576;7;2;"Mixed";25,4333333333333
"...17";"3931cropped";"D5";"H0";256;1038;1502;6;2;"Mixed";34,6
"...18";"8515cropped";"D5";"H0";54;1287;1364;14;7;"Serial";42,9
"...19";"8910cropped";"D5";"H0";148;2165;2380;37;1;"Mixed";72,1666666666667
"...20";"8930cropped";"D5";"H0";111;2216;2355;12;1;"Mixed";73,8666666666667
"...21";"3931cropped";"D7";"H0";99;2442;2553;10;1;"Serial";81,4
"...22";"8515cropped";"D7";"H0";13;65;80;2;7;"Serial";2,16666666666667
"...23";"8910cropped";"D7";"H0";26;0;26;1;2;"Direct";0
"...24";"8930cropped";"D7";"H0";97;2633;2788;13;2;"Mixed";87,7666666666667
