Date;ID;Short_ID;Born date;Age;Gen;ATFs;Sex;Weight;ATF;ColorCode;Sex
44295;286655538;5538;;4;+;NoED;Macho*;12;PSD95-6ZF-NoED;#E69F00;Male
44743;290219699;9699;44713;4;+;NoED;Hembra;12;PSD95-6ZF-NoED;#E69F00;Female
44295;286823797;3797;;4;+;VP64;Macho*;12;PSD95-6ZF-VP64;#009E73;Male
44239;289847118;7118;44212;4;-;NI;Macho;13;HTT-NI;#0C7BDC;Male
44239;289846967;6967;44212;4;-;NI;Macho;13;HTT-NI;#0C7BDC;Male
44295;287646828;6828;;4;-;NI;Macho*;13;HTT-NI;#0C7BDC;Male
44295;286766706;6706;;4;-;Tripan;Macho*;13;HTT-NI;#0C7BDC;Male
44295;289838538;8538;;4;-;Tripan;Macho*;13;HTT-NI;#0C7BDC;Male
44295;287020606;606;;4;+;NI;Hembra;13;HTT+NI;#994F00;Female
44295;289838546;8546;;4;+;NI;Macho*;13;HTT+NI;#994F00;Male
44295;287585371;5371;;4;-;Tripan;Hembra*;13;HTT-NI;#0C7BDC;Female
44295;289838225;8225;;4;-;NI;Hembra*;13;HTT-NI;#0C7BDC;Female
44295;289838718;8718;;4;-;NI;Hembra*;13;HTT-NI;#0C7BDC;Female
44239;289847293;7293;44212;4;-;NI;Macho;14;HTT-NI;#0C7BDC;Male
44239;289838247;8247;44212;4;-;NI;Macho;14;HTT-NI;#0C7BDC;Male
44295;289838699;8699;;4;-;Tripan;Macho*;14;HTT-NI;#0C7BDC;Male
44589;290219824;9824;;4;-;NI;Hembra;14;HTT-NI;#0C7BDC;Female
44743;290219718;9718;44713;4;-;NI;Hembra;14;HTT-NI;#0C7BDC;Female
44241;6694;6694;44212;4;+;NI;Hembra;14;HTT+NI;#994F00;Female
44743;290219807;9807;44713;4;+;NI;Hembra;14;HTT+NI;#994F00;Female
44295;289838224;8224;;4;+;NI;Macho*;14;HTT+NI;#994F00;Male
44226;289756706;6706;44200;4;+;NoED;Macho;14;PSD95-6ZF-NoED;#E69F00;Male
44226;289756386;6386;44200;4;+;VP64;Hembra;14;PSD95-6ZF-VP64;#009E73;Female
44301;289838941;8941;;4;+;VP64;Hembra*;14;PSD95-6ZF-VP64;#009E73;Female
44226;289756720;6720;44200;4;-;NI;hembra;15;HTT-NI;#0C7BDC;Female
44239;289846849;6849;44212;4;-;NI;Macho;15;HTT-NI;#0C7BDC;Male
44239;289838817;8817;44212;4;-;NI;Macho;15;HTT-NI;#0C7BDC;Male
44295;287069362;9362;;4;-;NI;Macho*;15;HTT-NI;#0C7BDC;Male
44743;290219488;9488;44713;4;-;NI;Hembra;15;HTT-NI;#0C7BDC;Female
44366;289838930;8930;44335;4;+;NI;Hembra;15;HTT+NI;#994F00;Female
44295;289838187;8187;;4;+;NI;Macho*;15;HTT+NI;#994F00;Male
44226;289756745;6745;44200;4;+;NoED;Macho;15;PSD95-6ZF-NoED;#E69F00;Male
44241;8966;8966;44212;4;-;NI;Hembra;16;HTT-NI;#0C7BDC;Female
44589;290219423;9423;;4;-;NI;Hembra;16;HTT-NI;#0C7BDC;Female
44589;290219119;9119;;4;-;NI;Hembra;16;HTT-NI;#0C7BDC;Female
44589;290219641;9641;;4;-;NI;Macho;16;HTT-NI;#0C7BDC;Male
44241;7264;7264;44212;4;+;NI;Hembra;16;HTT+NI;#994F00;Female
44226;289756484;6484;44200;4;+;VP64;Macho;16;PSD95-6ZF-VP64;#009E73;Male
44226;289756897;6897;44200;4;+;VP64;Macho;16;PSD95-6ZF-VP64;#009E73;Male
44589;290219143;9143;;4;+;VP64;Hembra;16;PSD95-6ZF-VP64;#009E73;Female
44301;289838225;8225;;4;-;NI;Hembra*;16;HTT-NI;#0C7BDC;Female
44301;289838718;8718;;4;-;NI;Hembra*;16;HTT-NI;#0C7BDC;Female
44592;290220002;2;;4;+;VP64;Macho;16;PSD95-6ZF-VP64;#009E73;Male
44239;289838087;8087;;4;-;NI;Hembra;17;HTT-NI;#0C7BDC;Female
44241;6608;6608;44211;4;-;NI;Hembra;17;HTT-NI;#0C7BDC;Female
44241;6388;6388;44212;4;-;NI;Macho;17;HTT-NI;#0C7BDC;Male
44295;287561632;1632;;4;-;NI;Macho*;17;HTT-NI;#0C7BDC;Male
44589;290219714;9714;;4;-;NI;Hembra;17;HTT-NI;#0C7BDC;Female
44241;3005;3005;44211;4;+;NI;Hembra;17;HTT+NI;#994F00;Female
44241;1508;1508;44211;4;+;NI;Macho;17;HTT+NI;#994F00;Male
44366;289838788;8788;44335;4;+;NI;Hembra;17;HTT+NI;#994F00;Female
44589;290219162;9162;;4;+;NoED;Hembra;17;PSD95-6ZF-NoED;#E69F00;Female
44203;289838910;8910;;4;-;NI;hembra;18;HTT-NI;#0C7BDC;Female
44241;6935;6935;44211;4;-;NI;Hembra;18;HTT-NI;#0C7BDC;Female
44301;289838538;8538;;4;-;Tripan;Macho*;18;HTT-NI;#0C7BDC;Male
44301;289838699;8699;;4;-;Tripan;Macho*;18;HTT-NI;#0C7BDC;Male
44592;290219316;9316;;4;-;NI;Hembra;18;HTT-NI;#0C7BDC;Female
44241;6274;6274;44211;4;+;NI;Hembra;18;HTT+NI;#994F00;Female
44241;7153;7153;44212;4;+;NI;Macho;18;HTT+NI;#994F00;Male
44226;289756286;6286;44200;4;+;NoED;Macho;18;PSD95-6ZF-NoED;#E69F00;Male
44234;289838930;8930;;4;+;VP64;Hembra;18;PSD95-6ZF-VP64;#009E73;Female
44366;289838668;8668;44335;4;-;NI;Macho;19;HTT-NI;#0C7BDC;Male
44239;289838154;8154;;4;+;NI;Hembra;19;HTT+NI;#994F00;Female
44239;289839059;9059;44209;4;+;NI;Macho;19;HTT+NI;#994F00;Male
44239;289838831;8831;;4;+;NI;Macho;19;HTT+NI;#994F00;Male
44589;290219965;9965;;4;+;NI;Macho;19;HTT+NI;#994F00;Male
44239;289838604;8604;44209;4;-;NI;Macho;20;HTT-NI;#0C7BDC;Male
44239;289838887;8887;44209;4;-;NI;Macho;20;HTT-NI;#0C7BDC;Male
44239;289838715;8715;44209;4;-;NI;Macho;20;HTT-NI;#0C7BDC;Male
44241;6926;6926;44211;4;+;NI;Macho;20;HTT+NI;#994F00;Male
44241;7580;7580;44211;4;+;NI;Macho;20;HTT+NI;#994F00;Male
44301;289838187;8187;;4;+;NI;Macho*;20;HTT+NI;#994F00;Male
44234;286992078;2078;;4;+;NoED;Macho;20;PSD95-6ZF-NoED;#E69F00;Male
44239;289838416;8416;44209;4;-;NI;Macho;21;HTT-NI;#0C7BDC;Male
44239;289838727;8727;;4;-;NI;Macho;21;HTT-NI;#0C7BDC;Male
44241;6914;6914;44211;4;+;NI;Macho;21;HTT+NI;#994F00;Male
44366;289846926;6926;44335;4;+;NI;Macho;21;HTT+NI;#994F00;Male
44600;290220002;2;;5;+;VP64;Macho;19;PSD95-6ZF-VP64;#009E73;Male
44301;289838879;8879;;5;+;NoED;Macho*;12;PSD95-6ZF-NoED;#E69F00;Male
44310;289756444;6444;;5;+;NoED;Hembra*;12;PSD95-6ZF-NoED;#E69F00;Female
44301;287650977;977;;5;+;NoED;Hembra;13;PSD95-6ZF-NoED;#E69F00;Female
44615;290220002;2;;7;+;VP64;Macho;22;PSD95-6ZF-VP64;#009E73;Male
44621;290220002;2;;8;+;VP64;Macho;22;PSD95-6ZF-VP64;#009E73;Male
44627;290220002;2;;9;+;VP64;Macho;23;PSD95-6ZF-VP64;#009E73;Male
43937;289752664;2664;43896;6;+;VP64;Hembra;18;PSD95-6ZF-VP64;#009E73;Female
44301;286766706;6706;;5;-;Tripan;Macho*;15;HTT-NI;#0C7BDC;Male
44743;290219983;9983;44705;5;-;NI;Hembra;15;HTT-NI;#0C7BDC;Female
44301;287020606;606;;5;+;NI;Hembra;15;HTT+NI;#994F00;Female
44248;6362;6362;;5;+;NoED;Macho;15;PSD95-6ZF-NoED;#E69F00;Male
44301;286823797;3797;;5;+;VP64;Macho*;15;PSD95-6ZF-VP64;#009E73;Male
44310;289756897;6897;;5;-;NI;Hembra*;15;HTT-NI;#0C7BDC;Female
44600;290219220;9220;;5;-;NI;Hembra;16;HTT-NI;#0C7BDC;Female
44248;1508;1508;;5;+;NI;Macho;19;HTT+NI;#994F00;Male
44253;1508;1508;;6;+;NI;Macho;22;HTT+NI;#994F00;Male
44257;1508;1508;;7;+;NI;Macho;22;HTT+NI;#994F00;Male
44234;287523931;3931;;5;+;NoED;Hembra;16;PSD95-6ZF-NoED;#E69F00;Female
44301;287585371;5371;;5;-;Tripan;Hembra*;16;HTT-NI;#0C7BDC;Female
44310;289838791;8791;;5;-;NI;Hembra*;16;HTT-NI;#0C7BDC;Female
44301;287646828;6828;;5;-;NI;Macho*;17;HTT-NI;#0C7BDC;Male
44239;287523931;3931;;5;+;NoED;Hembra;17;PSD95-6ZF-NoED;#E69F00;Female
44743;290219269;9269;44705;5;+;NoED;Hembra;17;PSD95-6ZF-NoED;#E69F00;Female
44301;286655538;5538;;5;+;NoED;Macho*;17;PSD95-6ZF-NoED;#E69F00;Male
44743;290248680;8680;44705;5;+;NoED;Hembra;17;PSD95-6ZF-NoED;#E69F00;Female
44310;289838244;8244;;5;+;NoED;Hembra*;17;PSD95-6ZF-NoED;#E69F00;Female
43937;289752609;2609;43899;5;-;VP64;Hembra;18;HTT-NI;#0C7BDC;Female
44248;6608;6608;;5;-;NI;Hembra;18;HTT-NI;#0C7BDC;Female
44600;290219261;9261;;5;-;NI;Hembra;18;HTT-NI;#0C7BDC;Female
44600;290219316;9316;;5;-;NI;Hembra;18;HTT-NI;#0C7BDC;Female
44600;290219312;9312;;5;-;NI;Hembra;18;HTT-NI;#0C7BDC;Female
44743;290219846;9846;44705;5;-;NI;Hembra;18;HTT-NI;#0C7BDC;Female
44743;290219452;9452;44705;5;-;NI;Hembra;18;HTT-NI;#0C7BDC;Female
44263;1508;1508;;7;+;NI;Macho;22;HTT+NI;#994F00;Male
44268;1508;1508;;8;+;NI;Macho;24;HTT+NI;#994F00;Male
43952;289752245;2245;43899;8;+;NI;Macho;24;HTT+NI;#994F00;Male
44743;290248381;8381;44705;5;+;NoED;Hembra;18;PSD95-6ZF-NoED;#E69F00;Female
44248;289847118;7118;;5;-;NI;Macho;19;HTT-NI;#0C7BDC;Male
44248;289847293;7293;;5;-;NI;Macho;19;HTT-NI;#0C7BDC;Male
44248;289838247;8247;;5;-;NI;Macho;19;HTT-NI;#0C7BDC;Male
44301;287069362;9362;;5;-;NI;Macho*;19;HTT-NI;#0C7BDC;Male
44600;290219686;9686;;5;-;NI;Macho;19;HTT-NI;#0C7BDC;Male
44248;3005;3005;;5;+;NI;Hembra;19;HTT+NI;#994F00;Female
44257;3005;3005;;7;+;NI;Hembra;21;HTT+NI;#994F00;Female
44310;286823797;3797;;6;+;VP64;Macho*;19;PSD95-6ZF-VP64;#009E73;Male
44239;289838910;8910;;5;-;NI;hembra;20;HTT-NI;#0C7BDC;Female
44248;289846849;6849;;5;-;NI;Macho;20;HTT-NI;#0C7BDC;Male
44248;289846967;6967;;5;-;NI;Macho;20;HTT-NI;#0C7BDC;Male
44248;289838817;8817;;5;-;NI;Macho;20;HTT-NI;#0C7BDC;Male
44248;6388;6388;;5;-;NI;Macho;20;HTT-NI;#0C7BDC;Male
44248;8966;8966;;5;-;NI;Hembra;20;HTT-NI;#0C7BDC;Female
44600;290219316;9316;;5;-;NI;Hembra;20;HTT-NI;#0C7BDC;Female
44268;3005;3005;;8;+;NI;Hembra;22;HTT+NI;#994F00;Female
44274;3005;3005;;9;+;NI;Hembra;21;HTT+NI;#994F00;Female
44246;289756897;6897;44200;7;+;VP64;Macho;22;PSD95-6ZF-VP64;#009E73;Male
44600;290219172;9172;;5;+;NoED;Macho;20;PSD95-6ZF-NoED;#E69F00;Male
44248;6935;6935;;5;-;NI;Hembra;21;HTT-NI;#0C7BDC;Female
44301;287561632;1632;;5;-;NI;Macho*;21;HTT-NI;#0C7BDC;Male
44600;290219115;9115;;5;-;NI;Macho;21;HTT-NI;#0C7BDC;Male
44279;3005;3005;;10;+;NI;Hembra;22;HTT+NI;#994F00;Female
44248;6274;6274;;5;+;NI;Hembra;19;HTT+NI;#994F00;Female
44257;6274;6274;;7;+;NI;Hembra;21;HTT+NI;#994F00;Female
44268;6274;6274;;8;+;NI;Hembra;21;HTT+NI;#994F00;Female
44239;289838226;8226;;5;+;NoED;Macho;21;PSD95-6ZF-NoED;#E69F00;Male
44274;6274;6274;;9;+;NI;Hembra;22;HTT+NI;#994F00;Female
44234;289756745;6745;;5;+;NoED;Macho;22;PSD95-6ZF-NoED;#E69F00;Male
44239;286992078;2078;;5;+;NoED;Macho;22;PSD95-6ZF-NoED;#E69F00;Male
44248;7139;7139;;5;+;VP64;Hembra;13;PSD95-6ZF-VP64;#009E73;Female
44600;290219368;9368;;5;-;NI;Macho;23;HTT-NI;#0C7BDC;Male
44279;6274;6274;;10;+;NI;Hembra;23;HTT+NI;#994F00;Female
44248;6694;6694;;5;+;NI;Hembra;17;HTT+NI;#994F00;Female
44600;290219543;9543;;5;-;NI;Macho;24;HTT-NI;#0C7BDC;Male
44268;6694;6694;;8;+;NI;Hembra;18;HTT+NI;#994F00;Female
44274;6694;6694;;9;+;NI;Hembra;18;HTT+NI;#994F00;Female
44279;6694;6694;;10;+;NI;Hembra;18;HTT+NI;#994F00;Female
44248;287556747;6747;;6;+;NI;Macho;18;HTT+NI;#994F00;Male
44234;289756286;6286;;5;+;NoED;Macho;24;PSD95-6ZF-NoED;#E69F00;Male
44257;287556747;6747;;8;+;NI;Macho;19;HTT+NI;#994F00;Male
44268;287556747;6747;;9;+;NI;Macho;20;HTT+NI;#994F00;Male
44274;287556747;6747;;10;+;NI;Macho;20;HTT+NI;#994F00;Male
44248;6914;6914;;5;+;NI;Macho;18;HTT+NI;#994F00;Male
44253;6914;6914;;6;+;NI;Macho;19;HTT+NI;#994F00;Male
44257;6362;6362;;6;+;NoED;Macho;15;PSD95-6ZF-NoED;#E69F00;Male
44268;7139;7139;;8;+;VP64;Hembra;12;PSD95-6ZF-VP64;#009E73;Female
44310;289838879;8879;;6;+;NoED;Macho*;16;PSD95-6ZF-NoED;#E69F00;Male
44310;289838225;8225;;6;-;NI;Hembra*;16;HTT-NI;#0C7BDC;Female
43937;289752954;2954;43896;6;-;NoED;Hembra;17;HTT-NI;#0C7BDC;Female
43937;289752641;2641;43896;6;-;VP64;Hembra;17;HTT-NI;#0C7BDC;Female
44310;286766706;6706;;6;-;Tripan;Macho*;17;HTT-NI;#0C7BDC;Male
44600;290219423;9423;;6;-;NI;Hembra;17;HTT-NI;#0C7BDC;Female
44600;290219824;9824;;6;-;NI;Hembra;17;HTT-NI;#0C7BDC;Female
44743;290219441;9441;44704;6;-;NI;Hembra;17;HTT-NI;#0C7BDC;Female
44743;290219714;9714;44704;6;-;NI;Hembra;17;HTT-NI;#0C7BDC;Female
44257;6914;6914;;7;+;NI;Macho;19;HTT+NI;#994F00;Male
44263;6914;6914;;7;+;NI;Macho;20;HTT+NI;#994F00;Male
43937;289752613;2613;43896;6;+;NoED;Macho;17;PSD95-6ZF-NoED;#E69F00;Male
44600;290219162;9162;;6;+;NoED;Hembra;17;PSD95-6ZF-NoED;#E69F00;Female
44275;7139;7139;;9;+;VP64;Hembra;12;PSD95-6ZF-VP64;#009E73;Female
44274;7139;7139;;9;+;VP64;Hembra;12;PSD95-6ZF-VP64;#009E73;Female
44248;287257800;7800;;6;+;VP64;Macho;19;PSD95-6ZF-VP64;#009E73;Male
43937;289752513;2513;43896;6;-;VP64;Macho;18;HTT-NI;#0C7BDC;Male
44248;289838087;8087;;6;-;NI;Hembra;18;HTT-NI;#0C7BDC;Female
44257;289847118;7118;;6;-;NI;Macho;18;HTT-NI;#0C7BDC;Male
44600;290219119;9119;;6;-;NI;Hembra;18;HTT-NI;#0C7BDC;Female
44743;290219614;9614;44704;6;-;NI;Hembra;18;HTT-NI;#0C7BDC;Female
43937;289752985;2985;43896;6;+;NoED;Macho;18;PSD95-6ZF-NoED;#E69F00;Male
44310;289838718;8718;;6;-;NI;Hembra*;18;HTT-NI;#0C7BDC;Female
44248;287257800;7800;;7;+;VP64;Macho;20;PSD95-6ZF-VP64;#009E73;Male
44257;287257800;7800;;8;+;VP64;Macho;19;PSD95-6ZF-VP64;#009E73;Male
44257;289847293;7293;;6;-;NI;Macho;19;HTT-NI;#0C7BDC;Male
44600;290219714;9714;;6;-;NI;Hembra;19;HTT-NI;#0C7BDC;Female
44600;290219641;9641;;6;-;NI;Macho;19;HTT-NI;#0C7BDC;Male
44268;6914;6914;;8;+;NI;Macho;20;HTT+NI;#994F00;Male
44248;6926;6926;;5;+;NI;Macho;19;HTT+NI;#994F00;Male
