Length_neck_nano;Length_neck_micro;Length_spine_nano;Length_spine_micro;Ratio;Minor_axis;Major_axis;Aspect_Ratio;Perimeter_Head_nano;Perimeter_Head_micro;Area_Head_sqrnano;Area_Head_sqrmicro;Smallest_neckwidth;Median_neckwidth;Average_neckwidth;# Neckline;Short_ATF;File;ATF;Symbol;ColorCode
311,535;0,311535;474,041;0,474041;65,719;197,264;235,196;0,839;755,361;0,755361;37372,854;0,037372854;240,482;300,379;284,014;1;NoED;Jun142022_MAX_C2-NoED-M10-3X-2;PSD95-6ZF-NoED;23;#009E73
273,067;0,273067;464,119;0,464119;58,835;139,804;248,898;0,562;666,958;0,666958;28877,067;0,028877067;379,957;641,234;581,3;1;VP64;May032022_MAX_C2-VP64-M15-3X-2;PSD95-6ZF-VP64;23;#009E73
347,707;0,347707;463,613;0,463613;74,999;224,594;243,465;0,922;783,168;0,783168;39903,079;0,039903079;185,738;208,231;204,764;1;NoED;Jun142022_MAX_C2-NoED-M14-3X-2;PSD95-6ZF-NoED;23;#009E73
406,658;0,406658;463,313;0,463313;87,772;231,222;322,481;0,717;1008,959;1,008959;63981,564;0,063981564;80,28;99,74;127,857;2;VP64;VP64_C25M1C163X5XCSpines;PSD95-6ZF-VP64;23;#009E73
78,095;0,078095;443,823;0,443823;17,596;579,662;619,358;0,936;2298,256;2,298256;290731,903;0,290731903;520,074;551,452;551,452;1;VP64;C2-May_032022_VP64_100_M33X-2;PSD95-6ZF-VP64;23;#009E73
228,152;0,228152;441,796;0,441796;51,642;297,426;512,542;0,58;1383,376;1,383376;119140,485;0,119140485;303,664;514,026;582,289;1;NoED;May032022_MAX_C2-NoED-M18-3X-2;PSD95-6ZF-NoED;23;#009E73
168,434;0,168434;438,364;0,438364;38,423;252,819;498,11;0,508;1383,735;1,383735;103971,507;0,103971507;346,531;442,416;431,549;1;NoED;May032022_MAX_C2-NoED-M18-3X-2;PSD95-6ZF-NoED;22;#E69F00
153,159;0,153159;437,891;0,437891;34,976;281,8;375,672;0,75;1119,869;1,119869;75194,114;0,075194114;317,645;331,218;327,211;2;VP64;May_032022_VP64_100_M2_3X-1-2-1;PSD95-6ZF-VP64;22;#E69F00
319,783;0,319783;430,282;0,430282;74,319;256,534;426,304;0,602;1151,578;1,151578;86971,96;0,08697196;466,681;466,681;466,681;2;NoED;NoED_C25M1C263X5XS1;PSD95-6ZF-NoED;23;#009E73
162,951;0,162951;429,662;0,429662;37,926;267,194;378,981;0,705;1126,486;1,126486;83627,988;0,083627988;216,894;277,344;258,172;2;VP64;VP64_May032022_C2100M43X;PSD95-6ZF-VP64;22;#E69F00
215,835;0,215835;424,579;0,424579;50,835;179,512;230,763;0,778;740,72;0,74072;30697,5;0,0306975;494,356;494,356;494,356;2;VP64;VP64_C25M1C163X5XCSpines;PSD95-6ZF-VP64;22;#E69F00
314,933;0,314933;423,925;0,423925;74,29;257,693;500,122;0,515;1400,877;1,400877;104999,369;0,104999369;120,53;169,327;199,534;2;VP64;VP64_May032022_C2100M43X;PSD95-6ZF-VP64;22;#E69F00
312,542;0,312542;423,621;0,423621;73,779;211,304;305,829;0,691;979,254;0,979254;52977,492;0,052977492;142,222;159,993;23484,169;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-3;PSD95-6ZF-VP64;22;#E69F00
187,707;0,187707;423,444;0,423444;44,329;284,631;326,007;0,873;973,18;0,97318;72234,247;0,072234247;77,701;77,701;77,701;1;VP64;VP64_500M13X1;PSD95-6ZF-VP64;23;#009E73
152,808;0,152808;412,035;0,412035;37,086;288,924;435,863;0,663;1321,3;1,3213;98580,484;0,098580484;186,841;220,444;209,355;1;NoED;Jun142022_MAX_C2-NoED-M14-3X-1;PSD95-6ZF-NoED;23;#009E73
199,845;0,199845;411,141;0,411141;48,607;434,104;698,518;0,621;1843,65;1,84365;232536,633;0,232536633;137,91;137,91;137,91;2;VP64;VP64_C25M1C163X5XCSpines;PSD95-6ZF-VP64;23;#009E73
196,558;0,196558;404,126;0,404126;48,638;240,443;447,942;0,537;1156,493;1,156493;77158,614;0,077158614;133,982;2201,52;2201,52;2;VP64;VP64_C25M1C163X5XAS1Spine;PSD95-6ZF-VP64;23;#009E73
209,46;0,20946;402,515;0,402515;52,38;283,825;326,931;0,868;1005,323;1,005323;69248,27;0,06924827;107,756;107,756;107,756;2;VP64;VP64_C25M1C163X5XAS1Spine;PSD95-6ZF-VP64;23;#009E73
218,569;0,218569;401,12;0,40112;54,49;203,303;407,517;0,499;1082,765;1,082765;63024,197;0,063024197;86,672;117,746;116,881;1;NoED;Jun142022_MAX_C2-NoED-M6-3X-1;PSD95-6ZF-NoED;22;#E69F00
211,935;0,211935;399,027;0,399027;53,113;282,526;387,084;0,73;1107,857;1,107857;82372,426;0,082372426;455,122;5231,147;42942,922;1;VP64;May032022_MAX_C2-VP64-M18-3X-1;PSD95-6ZF-VP64;22;#E69F00
198,111;0,198111;392,604;0,392604;50,461;280,283;656,879;0,427;1654,51;1,65451;125149,479;0,125149479;38,19;358,609;7259,13;2;VP64;VP64_May032022_C2100M43X;PSD95-6ZF-VP64;23;#009E73
363,063;0,363063;384,715;0,384715;94,372;253,701;418,003;0,607;1283,522;1,283522;91942,975;0,091942975;241,783;272,98;292,146;1;VP64;May032022_MAX_C2-VP64-M18-3X-1;PSD95-6ZF-VP64;22;#E69F00
172,61;0,17261;378,485;0,378485;45,605;392,792;468,726;0,838;1437,03;1,43703;140085,964;0,140085964;89,626;109,938;109,938;1;VP64;C2-May_032022_VP64_100_M33X-2;PSD95-6ZF-VP64;22;#E69F00
220,798;0,220798;377,908;0,377908;58,427;197,979;276,194;0,717;769,797;0,769797;41748,87;0,04174887;494,691;658,216;12553,185;1;NoED;May032022_MAX_C2-NoED-M19-3X-2;PSD95-6ZF-NoED;22;#E69F00
149,711;0,149711;355,879;0,355879;42,068;206,531;296,85;0,696;936,819;0,936819;46914,35;0,04691435;248,306;275,299;275,299;1;NoED;May032022_MAX_C2-NoED-M18-3X-1;PSD95-6ZF-NoED;22;#E69F00
127,576;0,127576;350,521;0,350521;36,396;280,413;431,365;0,65;1175,362;1,175362;92463,114;0,092463114;223,082;253,028;253,028;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-4;PSD95-6ZF-VP64;23;#009E73
143,112;0,143112;343,507;0,343507;41,662;232,529;491,692;0,473;1295,025;1,295025;90705,957;0,090705957;312,351;389,168;389,168;1;NoED;NoED_Jun142022_C2M53X1;PSD95-6ZF-NoED;22;#E69F00
241,245;0,241245;342,307;0,342307;70,476;218,099;448,248;0,487;1136,696;1,136696;68631,578;0,068631578;86,202;413,403;433,151;1;NoED;Jun142022_MAX_C2-NoED-M6-3X-1;PSD95-6ZF-NoED;22;#E69F00
155,204;0,155204;328,573;0,328573;47,236;319,182;430,883;0,741;1284,066;1,284066;104480,194;0,104480194;283,735;333,329;341,606;1;NoED;May032022_MAX_C2-NoED-M19-3X-1;PSD95-6ZF-NoED;23;#009E73
134,506;0,134506;327,509;0,327509;41,069;273,448;460,532;0,594;1289,402;1,289402;93983,442;0,093983442;317,838;352,815;352,815;1;VP64;May032022_MAX_C2-VP64-M18-3X-1;PSD95-6ZF-VP64;23;#009E73
136,686;0,136686;327,229;0,327229;41,771;276,576;479,287;0,577;1230,799;1,230799;94003,072;0,094003072;424,462;506,599;506,599;1;NoED;May032022_MAX_C2-NoED-M19-3X-1;PSD95-6ZF-NoED;22;#E69F00
57,196;0,057196;325,749;0,325749;17,558;238,75;416,417;0,573;1218,096;1,218096;79057,976;0,079057976;4410,846;4410,846;4410,846;1;NoED;May032022_MAX_C2-NoED-M18-3X-3;PSD95-6ZF-NoED;22;#E69F00
186,007;0,186007;323,115;0,323115;57,567;214,849;246,795;0,871;777,648;0,777648;43446,071;0,043446071;260,165;401,412;421,477;1;VP64;May032022_MAX_C2-VP64-M15-3X-2;PSD95-6ZF-VP64;23;#009E73
182,085;0,182085;313,108;0,313108;58,154;286,253;318,371;0,899;983,997;0,983997;68669,642;0,068669642;593,991;997,097;879,203;1;NoED;May032022_MAX_C2-NoED-M21-3X-2;PSD95-6ZF-NoED;22;#E69F00
199,188;0,199188;302,96;0,30296;65,935;331,153;450,333;0,735;1342,873;1,342873;116365,87;0,11636587;62,557;62,557;62,557;2;NoED;NoED_1M1C363X5XS2Spine;PSD95-6ZF-NoED;23;#009E73
188,23;0,18823;302,066;0,302066;62,314;133,449;360,085;0,371;927,753;0,927753;35251,708;0,035251708;193,308;227,307;293,522;1;VP64;May032022_MAX_C2-VP64-M18-3X-1;PSD95-6ZF-VP64;22;#E69F00
168,077;0,168077;302,025;0,302025;55,65;242,716;286,729;0,847;887,163;0,887163;55243,474;0,055243474;216,657;1696,529;43071,462;1;NoED;May032022_MAX_C2-NoED-M18-3X-1;PSD95-6ZF-NoED;23;#009E73
125,464;0,125464;295,747;0,295747;42,423;185,459;276,971;0,67;743,296;0,743296;37717,045;0,037717045;755,471;755,471;755,471;1;NoED;May032022_MAX_C2-NoED-M21-3X-2;PSD95-6ZF-NoED;22;#E69F00
134,77;0,13477;268,953;0,268953;50,109;198,387;275,626;0,72;777,897;0,777897;41511,729;0,041511729;173,855;189,385;189,385;1;NoED;NoED_Jun142022_C2M53X1;PSD95-6ZF-NoED;22;#E69F00
141,084;0,141084;264,756;0,264756;53,288;200,598;256,069;0,783;783,568;0,783568;41325,76;0,04132576;128,034;149,417;149,417;1;VP64;VP64_500M13X1;PSD95-6ZF-VP64;22;#E69F00
184,533;0,184533;252,55;0,25255;73,068;190,255;269,99;0,705;848,923;0,848923;39846,528;0,039846528;99,906;259,667;56235,193;1;VP64;May032022_MAX_C2-VP64-M15-3X-2;PSD95-6ZF-VP64;22;#E69F00
177,825;0,177825;250,996;0,250996;70,847;149,022;200,144;0,745;606,41;0,60641;25421,2;0,0254212;299,101;399,055;391,677;1;VP64;Jun142022_MAX_C2-VP64-M6-3X-2;PSD95-6ZF-VP64;23;#009E73
131,551;0,131551;220,796;0,220796;59,58;185,224;241,539;0,767;772,899;0,772899;38481,234;0,038481234;250,484;250,484;250,484;2;VP64;VP64_C2500M33XSpines;PSD95-6ZF-VP64;23;#009E73
91,247;0,091247;219,784;0,219784;41,517;236,721;419,986;0,564;1183;1,183;80895,984;0,080895984;361,744;429,389;429,389;1;VP64;Jun142022_MAX_C2-VP64-M9-3X-1;PSD95-6ZF-VP64;23;#009E73
116,469;0,116469;214,282;0,214282;54,353;226,724;343,495;0,66;971,402;0,971402;55415,644;0,055415644;300,708;371,85;371,85;1;NoED;Jun142022_MAX_C2-NoED-M14-3X-2;PSD95-6ZF-NoED;22;#E69F00
91,419;0,091419;209,588;0,209588;43,618;176,04;508,279;0,346;1303,482;1,303482;71526,576;0,071526576;197,554;428,851;428,851;1;NoED;May032022_MAX_C2-NoED-M18-3X-1;PSD95-6ZF-NoED;23;#009E73
184,189;0,184189;208,749;0,208749;88,235;179,266;314,269;0,57;838,332;0,838332;41894,033;0,041894033;238,616;254,608;446,452;1;NoED;NoED_Jun142022_C2M53X1;PSD95-6ZF-NoED;23;#009E73
132,113;0,132113;206,549;0,206549;63,962;465,993;888,965;0,524;2195,191;2,195191;254244,958;0,254244958;89,947;106,74;106,74;2;NoED;NoED_C25M1C363X1XSpine;PSD95-6ZF-NoED;22;#E69F00
149,688;0,149688;197,364;0,197364;75,844;107,798;184,456;0,584;508,102;0,508102;14811,194;0,014811194;341,162;441,122;441,122;1;NoED;May032022_MAX_C2-NoED-M18-3X-1;PSD95-6ZF-NoED;23;#009E73
85,918;0,085918;197,312;0,197312;43,545;114,694;433,414;0,265;1025,843;1,025843;34780,238;0,034780238;322,053;440,214;440,214;1;NoED;Jun142022_MAX_C2-NoED-M10-3X-1;PSD95-6ZF-NoED;23;#009E73
39,358;0,039358;196,203;0,196203;20,6;225,515;326,563;0,691;1216,655;1,216655;64015,801;0,064015801;4856,197;4856,197;4856,197;2;VP64;VP64_May032022_C2100M43X;PSD95-6ZF-VP64;22;#E69F00
96,469;0,096469;194,117;0,194117;49,696;198,222;326,011;0,608;984,344;0,984344;56010,143;0,056010143;192,316;52389,68;52389,68;1;NoED;May032022_MAX_C2-NoED-M18-3X-1;PSD95-6ZF-NoED;22;#E69F00
118,179;0,118179;187,638;0,187638;62,982;166,074;299,324;0,555;780,791;0,780791;39623,158;0,039623158;205,929;315,183;315,183;1;VP64;Jun142022_MAX_C2-VP64-M9-3X-1;PSD95-6ZF-VP64;23;#009E73
