Length_neck_nano;Length_neck_micro;Length_spine_nano;Length_spine_micro;Ratio;Minor_axis;Major_axis;Aspect_Ratio;Perimeter_Head_nano;Perimeter_Head_micro;Area_Head_sqrnano;Area_Head_sqrmicro;Smallest_neckwidth;Median_neckwidth;Average_neckwidth;# Neckline;Short_ATF;File;ATF;Symbol;ColorCode
3122,505;3,122505;4752,233;4,752233;65,706;644,425;1481,52;0,435;4003,253;4,003253;753222,827;0,753222827;17,585;18,252;33,573;2;VP64;VP64_C21M1C163X5XS1Spines;PSD95-6ZF-VP64;23;#009E73
3504,919;3,504919;4575,225;4,575225;76,606;1065,664;1111,637;0,959;3449,204;3,449204;920598,872;0,920598872;18,758;117,337;117,337;2;VP64;VP64_C25M1C363X5XCSpines;PSD95-6ZF-VP64;22;#E69F00
1887,198;1,887198;4392,19;4,39219;42,967;857,327;2479,709;0,346;6104,959;6,104959;1667391,162;1,667391162;93,644;80587,201;80587,201;2;VP64;VP64_C25M1C163X5XAS1Spine;PSD95-6ZF-VP64;22;#E69F00
2910,772;2,910772;4326,682;4,326682;67,275;1326,71;1811,861;0,732;5195,189;5,195189;47,77;0,00004777;949,249;92,79;538,1;2;NoED;NoED_1M1C163X1XS2Spines;PSD95-6ZF-NoED;22;#E69F00
2270,798;2,270798;4237,35;4,23735;53,594;1028,324;1413,156;0,728;4279,918;4,279918;1153554,829;1,153554829;2,455;18,288;29,506;2;VP64;VP64_C25M1C263X5XCSpine;PSD95-6ZF-VP64;23;#009E73
2270,798;2,270798;4237,035;4,237035;53,594;1028,324;1413,156;0,728;4279,918;4,279918;1153554,829;1,153554829;2,455;18,288;29,506;1;VP64;C2-VP64-5-M1-C2-63X-5XC;PSD95-6ZF-VP64;23;#009E73
2587,78;2,58778;4128,921;4,128921;62,674;918,623;1313,149;0,7;4340,898;4,340898;940045,87;0,94004587;20,82;95,187;132,625;2;VP64;VP64_C25M1C163X5XCSpines;PSD95-6ZF-VP64;23;#009E73
1538,925;1,538925;4128,88;4,12888;37,272;1034,584;2130,947;0,486;5612,245;5,612245;1730814,168;1,730814168;50,63;50,63;50,63;2;VP64;VP64_C25M1C363X5XCSpines;PSD95-6ZF-VP64;22;#E69F00
2766,48;2,76648;4069,93;4,06993;67,977;1040,727;1631,964;0,638;4312,362;4,312362;1257710,65;1,25771065;1,945;94,796;142,91;2;NoED;NoED_C25M1C363X1XSpine;PSD95-6ZF-NoED;23;#009E73
2138,165;2,138165;4056,74;4,05674;52,715;1169,967;1570,646;0,745;4640,579;4,640579;1436579,3;1,4365793;105,678;134,736;139,46;2;VP64;VP64_C25M1C163X5XAS1Spine;PSD95-6ZF-VP64;23;#009E73
2242,463;2,242463;4053,284;4,053284;55,325;1319,137;1394,291;0,946;4282,827;4,282827;1447620,767;1,447620767;78,563;232,024;584,588;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-4;PSD95-6ZF-VP64;23;#009E73
2408,85;2,40885;4038,936;4,038936;59,641;900,671;1310,151;0,687;3911,883;3,911883;931511,28;0,93151128;39,114;53,247;53,247;2;VP64;VP64_C25M1C363X5XCSpines;PSD95-6ZF-VP64;23;#009E73
2435,832;2,435832;4008,059;4,008059;60,773;1161,009;1378,675;0,842;4081,423;4,081423;1255333,807;1,255333807;67,357;294,378;285,685;1;VP64;Jun142022_MAX_C2-VP64-M7-3X-1;PSD95-6ZF-VP64;23;#009E73
2431,763;2,431763;3995,657;3,995657;60,86;1711,304;1815,508;0,943;5812,368;5,812368;2434712,461;2,434712461;51,506;259,388;346,794;2;NoED;May032022_NoED_100_C2M1.8-1-1;PSD95-6ZF-NoED;22;#E69F00
1133,036;1,133036;3985,523;3,985523;28,429;1574,068;1864,299;0,844;5496,021;5,496021;2305719,253;2,305719253;177,463;281,301;266,677;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-1;PSD95-6ZF-VP64;22;#E69F00
2425,229;2,425229;3882,383;3,882383;62,468;934,182;1355,134;0,689;3903,772;3,903772;1002902,408;1,002902408;18,398;2900,406;2900,406;2;VP64;VP64_C251C363X5XBSpines;PSD95-6ZF-VP64;22;#E69F00
2396,31;2,39631;3729,482;3,729482;64,246;1054,36;1178,674;0,895;3573,523;3,573523;978177,5;0,9781775;18,141;32,94;154,424;2;VP64;VP64_MAX21M1C163X5X2Spines;PSD95-6ZF-VP64;23;#009E73
2608,872;2,608872;3612,258;3,612258;72,223;859,283;1093,37;0,786;3276,206;3,276206;732351,2;0,7323512;18,189;18,876;43,607;2;VP64;VP64_C21M1C163X5XS1Spines;PSD95-6ZF-VP64;22;#E69F00
2715,555;2,715555;3555,89;3,55589;76,385;893,232;1252,17;0,713;3573,515;3,573515;867256,979;0,867256979;76,771;249,393;293,725;2;NoED;NoED_1M1C163X1XS2Spines;PSD95-6ZF-NoED;23;#009E73
2259,24;2,25924;3514,19;3,51419;64,286;479,331;1455,347;0,329;3777,646;3,777646;541095,724;0,541095724;18,883;86,524;86,524;2;VP64;VP64_C25M1C363X5XASpines;PSD95-6ZF-VP64;23;#009E73
591,44;0,59144;3482,21;3,48221;16,986;777,625;2923,505;0,266;7142,972;7,142972;1783588,6;1,7835886;17,542;17,542;17,542;2;VP64;VP64_C251C363X5XBSpines;PSD95-6ZF-VP64;23;#009E73
2659,822;2,659822;3447,071;3,447071;77,162;822,625;845,995;0,972;2779,224;2,779224;547945,519;0,547945519;51,135;256,555;22384,827;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-3;PSD95-6ZF-VP64;23;#009E73
1641,43;1,64143;3313,111;3,313111;49,532;822,598;2014,353;0,408;5278,12;5,27812;1282183,464;1,282183464;155,635;208,653;249,507;2;NoED;NoED_MAXC21M1C363X1XS1;PSD95-6ZF-NoED;23;#009E73
1210,363;1,210363;3291,523;3,291523;36,772;929,801;2356,345;0,395;6053,956;6,053956;1729344,603;1,729344603;31,75;128,643;153,46;2;VP64;VP64_May032022_C2100M43X;PSD95-6ZF-VP64;23;#009E73
1126,289;1,126289;3284,158;3,284158;34,295;1264,934;1528,704;0,827;4404,474;4,404474;1513252,649;1,513252649;143,046;209,017;3764,219;1;NoED;Jun142022_MAX_C2-NoED-M10-3X-2;PSD95-6ZF-NoED;23;#009E73
1394,425;1,394425;3243,233;3,243233;42,995;1221,809;1588,085;0,769;4778,144;4,778144;1523989,908;1,523989908;91,091;178,865;2055,408;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-4;PSD95-6ZF-VP64;23;#009E73
1788,58;1,78858;3224,274;3,224274;55,456;345,806;920,3;0,376;3272,635;3,272635;773670,353;0,773670353;54,968;101,472;101,472;2;VP64;VP64_C25M1C263X5XBSpine;PSD95-6ZF-VP64;23;#009E73
1111,549;1,111549;3099,507;3,099507;35,862;1598,928;1780,389;0,898;5731,326;5,731326;2230144,12;2,23014412;18,536;28,803;28,803;2;VP64;VP64_MAX21M1C163X5X2Spines;PSD95-6ZF-VP64;23;#009E73
2076,344;2,076344;3055,193;3,055193;67,961;589,204;1172,708;0,502;3345,741;3,345741;535658,777;0,535658777;58,548;98,945;144,223;2;VP64;VP64_C25M1C263X5XBSpine;PSD95-6ZF-VP64;23;#009E73
1677,6;1,6776;3045,771;3,045771;55,62;917,767;1433,536;0,64;4142,882;4,142882;1035369,66;1,03536966;141,284;223,336;227,348;2;VP64;VP64_C25M1C163X5XAS1Spine;PSD95-6ZF-VP64;23;#009E73
1753,886;1,753886;3001,114;3,001114;58,441;1239,564;1704,374;0,727;4908,611;4,908611;1666864,959;1,666864959;77,949;212,63;192,534;2;NoED;NoED_1M1C163X1XS2Spines;PSD95-6ZF-NoED;23;#009E73
1554,811;1,554811;2977,713;2,977713;52,215;907,177;1433,83;0,633;4349,269;4,349269;1012017,595;1,012017595;121,318;394,533;478,051;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-3;PSD95-6ZF-VP64;23;#009E73
2227,28;2,22728;2968,168;2,968168;75,39;275,81;843,312;0,326;2021,295;2,021295;177151,695;0,177151695;3,424;44,571;863,197;2;VP64;VP64_C25M1C363X5XASpines;PSD95-6ZF-VP64;23;#009E73
2294,573;2,294573;2946,074;2,946074;77,886;450,506;776,073;0,58;2054,827;2,054827;279064,503;0,279064503;90,605;289,23;6843,283;1;VP64;Jun142022_MAX_C2-VP64-M6-3X-2;PSD95-6ZF-VP64;23;#009E73
1923,809;1,923809;2917,71;2,91771;65,936;558,267;997,282;0,56;2671,749;2,671749;441265,497;0,441265497;150,748;295,101;4866,958;1;VP64;Jun142022_MAX_C2-VP64-M9-3X-1;PSD95-6ZF-VP64;23;#009E73
1831,693;1,831693;2838,362;2,838362;64,533;1030,126;1117,932;0,921;3539,304;3,539304;911247,314;0,911247314;577,58;577,58;577,58;2;VP64;VP64_MAX21M1C163X5X2Spines;PSD95-6ZF-VP64;23;#009E73
1939,984;1,939984;2818,96;2,81896;68,84;586,636;878,442;0,668;2414,181;2,414181;403822,668;0,403822668;59,541;59,541;59,541;2;VP64;VP64_C25M1C263X5XBSpine;PSD95-6ZF-VP64;23;#009E73
1393,451;1,393451;2770,106;2,770106;50,303;1362,312;1550,807;0,878;4742,167;4,742167;1653478,301;1,653478301;77,949;139,366;13557,152;2;NoED;NoED_1M1C163X1XS2Spines;PSD95-6ZF-NoED;23;#009E73
1172,317;1,172317;2752,475;2,752475;42,591;894,596;1463,256;0,611;3853,748;3,853748;1030641,296;1,030641296;17,398;17,872;65,284;2;VP64;VP64_C251C363X5XBSpines;PSD95-6ZF-VP64;22;#E69F00
1363,898;1,363898;2748,392;2,748392;49,625;972,336;1225,273;0,794;3552,15;3,55215;928323,647;0,928323647;60,91;113,233;4561,313;2;VP64;VP64_MAX21M1C163X5X2Spines;PSD95-6ZF-VP64;23;#009E73
2233,631;2,233631;2744,789;2,744789;81,377;620,195;806,857;0,769;2415,41;2,41541;390098,93;0,39009893;81,676;108,328;112,45;2;NoED;NoED_C25M1C263X5XS1;PSD95-6ZF-NoED;23;#009E73
1751,694;1,751694;2739,384;2,739384;63,945;730,294;887,155;0,823;2569,811;2,569811;504344,393;0,504344393;75,62;155,812;181,302;2;VP64;VP64_C25M1C163X5XCSpines;PSD95-6ZF-VP64;23;#009E73
2077,191;2,077191;2730,868;2,730868;76,63;733,415;847,235;0,866;2711,256;2,711256;376742,545;0,376742545;6,707;89,135;104,102;2;NoED;NoED_C25M1C363X1XSpine;PSD95-6ZF-NoED;23;#009E73
1870,551;1,870551;2685,431;2,685431;69,656;755,739;852,9;0,886;2647,642;2,647642;495503,45;0,49550345;70,189;70,189;70,189;2;VP64;VP64_C251C363X5XBSpines;PSD95-6ZF-VP64;23;#009E73
735,346;0,735346;2652,238;2,652238;27,725;413,944;2185,383;0,189;4777,663;4,777663;706325,392;0,706325392;122,197;122,197;122,197;2;VP64;VP64_C25M1C363X5XCSpines;PSD95-6ZF-VP64;22;#E69F00
1801,453;1,801453;2634,733;2,634733;68,373;677,192;792,782;0,854;2390,971;2,390971;415446,725;0,415446725;18,58;18,58;18,58;2;VP64;VP64_C25M1C363X5XASpines;PSD95-6ZF-VP64;23;#009E73
1719,976;1,719976;2629,119;2,629119;65,42;732,317;934,483;0,784;2769,567;2,769567;538202,749;0,538202749;163,531;293,005;341,623;1;VP64;May032022_MAX_C2-VP64-M15-3X-1;PSD95-6ZF-VP64;22;#E69F00
1583,149;1,583149;2603,252;2,603252;60,814;766,69;1031,746;0,742;2958,5;2,9585;631807,127;0,631807127;24,357;104,882;106,545;2;VP64;VP64_C21M1C263X5XS1Spines;PSD95-6ZF-VP64;22;#E69F00
764,906;0,764906;2556,607;2,556607;29,919;1228,321;1386,473;0,886;4139,618;4,139618;1332044,322;1,332044322;6,163;150,411;130,694;2;VP64;C2-May_032022_VP64_100_M3X;PSD95-6ZF-VP64;23;#009E73
1661,23;1,66123;2553,16;2,55316;65,66;847,563;1000,166;0,847;3025,899;3,025899;669273,89;0,66927389;15,363;28,641;28,641;2;VP64;VP64_C25M1C363X5XCSpines;PSD95-6ZF-VP64;23;#009E73
1554,855;1,554855;2486,823;2,486823;62,524;959,956;1213,458;0,791;3681,739;3,681739;910714,338;0,910714338;75,175;329,881;6059,469;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-2;PSD95-6ZF-VP64;22;#E69F00
693,759;0,693759;2480,331;2,480331;27,97;1099,431;2181,18;0,504;5668,038;5,668038;1921064,112;1,921064112;34,101;341,906;17588,19;1;VP64;C2-May_032022_VP64_100_M33X-2;PSD95-6ZF-VP64;23;#009E73
1757,176;1,757176;2464,827;2,464827;71,29;615,704;898,866;0,685;2474,784;2,474784;437419,267;0,437419267;112,745;254,795;278,335;2;NoED;NoED_1M1C363X5XS1Spine;PSD95-6ZF-NoED;23;#009E73
1597,375;1,597375;2461,461;2,461461;64,895;360,97;1087,923;0,332;2916,649;2,916649;313006,254;0,313006254;1,171;21,616;48,214;2;NoED;NoED_1M1C263X5XS1spines;PSD95-6ZF-NoED;23;#009E73
1405,734;1,405734;2448,331;2,448331;57,416;882,513;1057,81;0,835;3166,858;3,166858;729956,875;0,729956875;71,215;90,71;89,243;2;VP64;VP64_C251C363X5XBSpines;PSD95-6ZF-VP64;22;#E69F00
1379,687;1,379687;2439,361;2,439361;56,559;823,574;1104,562;0,746;3322,802;3,322802;716497,777;0,716497777;21,756;156,777;164,959;2;VP64;VP64_C2500M33XSpines;PSD95-6ZF-VP64;23;#009E73
1676,463;1,676463;2427,63;2,42763;69,74;754,446;799,454;0,944;2730,364;2,730364;475390,56;0,47539056;36,339;110,749;110,749;2;NoED;NoED_C25M1C263X5XS1;PSD95-6ZF-NoED;22;#E69F00
1446,088;1,446088;2409,2;2,4092;60,024;723,6;893,072;0,81;2661,2;2,6612;511545,548;0,511545548;81,743;189,37;10590,885;1;NoED;Jun142022_MAX_C2-NoED-M14-3X-1;PSD95-6ZF-NoED;23;#009E73
1618,157;1,618157;2406,53;2,40653;67,254;782,99;852,454;0,917;2630,841;2,630841;518489,5;0,5184895;23,915;71,675;79,539;2;VP64;VP64_C21M1C263X5XS1Spines;PSD95-6ZF-VP64;23;#009E73
1428,371;1,428371;2399,353;2,399353;59,531;873,242;988,607;0,883;3005,518;3,005518;674093,26;0,67409326;90,825;131,87;131,87;2;VP64;VP64_C25M1C363X5XASpines;PSD95-6ZF-VP64;22;#E69F00
1604,436;1,604436;2389,007;2,389007;67,159;475,971;866,84;0,549;2565,866;2,565866;328338,925;0,328338925;159,83;337,439;12100,098;1;VP64;Jun142022_MAX_C2-VP64-M9-3X-1;PSD95-6ZF-VP64;22;#E69F00
1805,808;1,805808;2388,12;2,38812;75,616;636,183;749,227;0,849;2290,251;2,290251;371605,543;0,371605543;26,199;164,677;208,789;2;VP64;VP64_C21M1C263X5XS2Spines;PSD95-6ZF-VP64;23;#009E73
482,745;0,482745;2374,719;2,374719;20,329;1259,862;1526,968;0,825;5055,927;5,055927;1518611,578;1,518611578;97,405;162,565;19671,091;1;VP64;Jun142022_MAX_C2-VP64-M6-3X-2;PSD95-6ZF-VP64;23;#009E73
1074,329;1,074329;2367,55;2,36755;45,387;1308,534;1677,856;0,78;4775,168;4,775168;89,249;0,000089249;335,25;25,102;738,1;2;NoED;NoED_1M1C163X1XS2Spines;PSD95-6ZF-NoED;23;#009E73
1323,822;1,323822;2366,274;2,366274;55,945;643,71;1027,078;0,627;2955,036;2,955036;514940,35;0,51494035;139,029;348,426;13074,698;1;NoED;Jun142022_MAX_C2-NoED-M10-3X-1;PSD95-6ZF-NoED;23;#009E73
1620,74;1,62074;2335,447;2,335447;69,397;402,562;852,37;0,472;2304,942;2,304942;270394,489;0,270394489;100,64;183,99;210,975;2;VP64;VP64_500M2S1;PSD95-6ZF-VP64;23;#009E73
1221,29;1,22129;2330,14;2,33014;52,402;680,641;1122,283;0,606;3285,642;3,285642;596358,353;0,596358353;69,684;241,263;1205,937;2;VP64;VP64_C25M1C163X5XCSpines;PSD95-6ZF-VP64;23;#009E73
1475,498;1,475498;2322,101;2,322101;63,541;910,587;927,634;0,982;2888,326;2,888326;638463,605;0,638463605;93,701;113,523;113,523;2;VP64;VP64_C21M1C263X5XS1Spines;PSD95-6ZF-VP64;22;#E69F00
1792,333;1,792333;2310,714;2,310714;77,566;573,62;652,131;0,88;2010,996;2,010996;292339,449;0,292339449;25,577;131,1;1357,741;2;VP64;VP64_C21M1C263X5XS3Spines;PSD95-6ZF-VP64;23;#009E73
630,661;0,630661;2303,677;2,303677;27,376;970,462;1203,736;0,806;3932,138;3,932138;918154,164;0,918154164;90,506;90,506;90,506;2;VP64;VP64_C21M1C163X5XS1Spines;PSD95-6ZF-VP64;23;#009E73
742,885;0,742885;2288,484;2,288484;32,462;1271,384;1507,916;0,843;4547,602;4,547602;1505167,688;1,505167688;508,597;508,597;508,597;2;VP64;VP64_MAX21M1C163X5X2Spines;PSD95-6ZF-VP64;23;#009E73
1310,737;1,310737;2279,587;2,279587;57,499;919,25;1162,928;0,79;3532,224;3,532224;835984,727;0,835984727;75,881;75,881;75,881;2;VP64;VP64_C25M1C263X5XBSpine;PSD95-6ZF-VP64;23;#009E73
836,379;0,836379;2267,616;2,267616;36,884;768,101;1302,984;0,589;4029,868;4,029868;780194,328;0,780194328;6,574;17,775;20,878;2;NoED;C2-NoED-500-M2-3X2--3-1;PSD95-6ZF-NoED;22;#E69F00
759,197;0,759197;2256,948;2,256948;33,638;661,005;1631,911;0,405;4358,681;4,358681;844413,467;0,844413467;175,229;256,473;254,866;1;VP64;May032022_MAX_C2-VP64-M15D-3X-2;PSD95-6ZF-VP64;22;#E69F00
1761,313;1,761313;2245,1;2,2451;78,455;636,933;819,389;0,777;2326,18;2,32618;396588,109;0,396588109;2,279;81,447;363,132;2;VP64;VP64_C21M1C263X5XS3Spines;PSD95-6ZF-VP64;23;#009E73
1553,236;1,553236;2240,753;2,240753;69,318;764,495;864,19;0,885;2585,889;2,585889;497331,454;0,497331454;63,278;107,72;200,47;2;VP64;VP64_C21M1C263X5XS4Spines;PSD95-6ZF-VP64;23;#009E73
1078,22;1,07822;2239,952;2,239952;48,136;1055,563;1530,536;0,69;4469,609;4,469609;1285234,207;1,285234207;12,542;177,996;147,324;2;NoED;NoED_1M1C163X1XS2Spines;PSD95-6ZF-NoED;23;#009E73
1324,414;1,324414;2229,294;2,229294;59,41;657,828;1107,853;0,594;3153,765;3,153765;604088,209;0,604088209;56,276;314,12;9911,113;2;NoED;May032022_NoED_100_C2M1.8-1-1;PSD95-6ZF-NoED;22;#E69F00
1415,543;1,415543;2228,12;2,22812;63,534;1435,312;1861,739;0,771;5391,337;5,391337;2104277,337;2,104277337;51,554;267,45;276,409;2;NoED;May032022_NoED_100_C2M1.8-1-1;PSD95-6ZF-NoED;23;#009E73
1262,585;1,262585;2221,373;2,221373;56,838;842,897;984,88;0,856;2903,755;2,903755;651826,943;0,651826943;89,736;419,993;770,553;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-4;PSD95-6ZF-VP64;23;#009E73
1488,365;1,488365;2214,889;2,214889;67,198;353,838;842,923;0,42;2390,66;2,39066;226628,46;0,22662846;147,106;344,435;346,474;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-4;PSD95-6ZF-VP64;23;#009E73
1401,957;1,401957;2194,44;2,19444;63,898;329,886;813,89;0,405;2027,769;2,027769;205576,306;0,205576306;23,442;66,17;82,948;2;VP64;VP64_C21M1C263X5XS4Spines;PSD95-6ZF-VP64;23;#009E73
1185,628;1,185628;2183,966;2,183966;54,288;587,673;845,872;0,695;2438,126;2,438126;392530,44;0,39253044;120,851;120,851;120,851;2;VP64;VP64_C25M1C363X5XASpines;PSD95-6ZF-VP64;22;#E69F00
1665,368;1,665368;2124,71;2,12471;78,381;642,216;743,073;0,864;2217,29;2,21729;371550,922;0,371550922;85,302;397,121;6221,141;1;VP64;Jun142022_MAX_C2-VP64-M6-3X-2;PSD95-6ZF-VP64;23;#009E73
1251,921;1,251921;2113,795;2,113795;59,226;432,373;731,973;0,591;2130,418;2,130418;246706,826;0,246706826;1,107;17,964;43,264;2;VP64;VP64_C25M1C263X5XCSpine;PSD95-6ZF-VP64;23;#009E73
1251,921;1,251921;2113,795;2,113795;59,226;432,373;731,973;0,591;2130,418;2,130418;246706,826;0,246706826;1,107;17,964;43,264;1;VP64;C2-VP64-5-M1-C2-63X-5XC;PSD95-6ZF-VP64;23;#009E73
485,38;0,48538;2112,228;2,112228;22,98;1019,974;1421,475;0,718;3889,085;3,889085;1131160,382;1,131160382;114,707;308,184;289,284;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-1;PSD95-6ZF-VP64;23;#009E73
1477,152;1,477152;2107,26;2,10726;70,98;743,89;763,233;0,974;2422,904;2,422904;447780,637;0,447780637;23,792;125,969;180,68;2;VP64;VP64_C21M1C263X5XS4Spines;PSD95-6ZF-VP64;22;#E69F00
1649,254;1,649254;2094,725;2,094725;78,734;463,48;647,699;0,715;1909,48;1,90948;240697,856;0,240697856;84,788;278,994;8208,773;2;VP64;VP64_C25M1C163X5XCSpines;PSD95-6ZF-VP64;22;#E69F00
1299,936;1,299936;2088,366;2,088366;62,247;773,527;958,16;0,807;2916,871;2,916871;593331,146;0,593331146;32,81;257,12;327,194;2;VP64;VP64_May032022_C2100M43X;PSD95-6ZF-VP64;23;#009E73
1363,62;1,36362;2087,374;2,087374;65,327;502,193;874,377;0,574;2448,443;2,448443;340124,602;0,340124602;88,111;151,894;154,757;1;NoED;NoED_C2--500-M3-3X_1-1;PSD95-6ZF-NoED;23;#009E73
1731,648;1,731648;2080,766;2,080766;83,222;223,771;414,671;0,54;1083,4;1,0834;74315,32;0,07431532;17,41;68,194;105,305;2;VP64;VP64_MAX21M1C163X5X2Spines;PSD95-6ZF-VP64;22;#E69F00
1587,282;1,587282;2075,677;2,075677;76,471;593,604;815,92;0,728;2438,655;2,438655;377441,877;0,377441877;76,991;107,265;128,469;2;VP64;VP64_C25M1C163X5XCSpines;PSD95-6ZF-VP64;23;#009E73
1526,529;1,526529;2074,143;2,074143;73,598;620,43;681,156;0,91;2175,606;2,175606;329466,546;0,329466546;36,136;374,39;21267,75;2;VP64;VP64_C21M1C263X5XS1Spines;PSD95-6ZF-VP64;23;#009E73
1029,659;1,029659;2016,716;2,016716;51,56;551,472;967,505;0,57;2568,6;2,5686;413330,247;0,413330247;88,194;211,794;252,692;2;VP64;VP64_C25M1C163X5XCSpines;PSD95-6ZF-VP64;23;#009E73
826,114;0,826114;2016,591;2,016591;40,966;986,648;1561,858;0,632;4237,521;4,237521;1219998,656;1,219998656;130,229;130,229;130,229;2;VP64;VP64_MAX21M1C163X5X2Spines;PSD95-6ZF-VP64;23;#009E73
925,711;0,925711;1990,976;1,990976;46,495;679,602;992,34;0,685;3025,21;3,02521;534606,236;0,534606236;54,446;186,758;230,347;2;NoED;NoED_1M1C363X5XS1Spine;PSD95-6ZF-NoED;22;#E69F00
1461,49;1,46149;1989,326;1,989326;73,444;622,972;818,387;0,761;2283,398;2,283398;387404,782;0,387404782;57,4;57,4;57,4;2;VP64;VP64_C21M1C263X5XS1Spines;PSD95-6ZF-VP64;23;#009E73
612,928;0,612928;1973,91;1,97391;31,051;651,912;1260,704;0,517;3595,899;3,595899;638847,765;0,638847765;214,541;312,905;319,149;1;NoED;Jun142022_MAX_C2-NoED-M9-3X-1;PSD95-6ZF-NoED;22;#E69F00
1170,331;1,170331;1972,654;1,972654;59,328;748,312;814,865;0,918;2459,956;2,459956;471641,698;0,471641698;240,835;402,543;33630,96;1;VP64;Jun142022_MAX_C2-VP64-M5-3X-3;PSD95-6ZF-VP64;22;#E69F00
1310,867;1,310867;1970,375;1,970375;66,529;530,58;858,827;0,618;2490,695;2,490695;397468,263;0,397468263;104,927;215,485;220,81;2;NoED;NoED_MAXC21M1C363X1XS1;PSD95-6ZF-NoED;22;#E69F00
764,106;0,764106;1968,931;1,968931;38,808;827,733;1992,595;0,415;5125,83;5,12583;1313389,206;1,313389206;259,95;340,225;353,449;2;NoED;May032022_NoED_100_C2M1.8-1-1;PSD95-6ZF-NoED;23;#009E73
682,561;0,682561;1962,657;1,962657;34,777;484,629;1251,389;0,387;3417,312;3,417312;469154,908;0,469154908;126,357;328,832;9273,344;1;NoED;Jun142022_MAX_C2-NoED-M10-3X-1;PSD95-6ZF-NoED;23;#009E73
1082,597;1,082597;1961,938;1,961938;55,18;793,224;1044,475;0,759;3309,761;3,309761;712121,109;0,712121109;249,335;517,79;16330,814;2;NoED;NoED_1M1C163X1XS2Spines;PSD95-6ZF-NoED;23;#009E73
659,39;0,65939;1960,345;1,960345;33,636;828,4;1327,943;0,624;3975,733;3,975733;822059,653;0,822059653;31,857;159,502;270,746;2;VP64;VP64_May032022_C2100M43X;PSD95-6ZF-VP64;23;#009E73
1502,806;1,502806;1935,014;1,935014;77,664;431,893;606,179;0,712;1794,494;1,794494;212571,646;0,212571646;36,543;433,428;514,845;1;NoED;May032022_MAX_C2-NoED-M21-3X-1;PSD95-6ZF-NoED;23;#009E73
1306,954;1,306954;1928,34;1,92834;67,776;551,99;644,897;0,856;1946,29;1,94629;282511,772;0,282511772;67,338;85,405;273,37;2;VP64;VP64_C21M1C263X5XS1Spines;PSD95-6ZF-VP64;22;#E69F00
755,055;0,755055;1919,705;1,919705;39,332;838,589;1227,052;0,683;3499,289;3,499289;809821,363;0,809821363;161,029;462,394;31005,568;1;VP64;Jun142022_MAX_C2-VP64-M8-3X-1;PSD95-6ZF-VP64;23;#009E73
1569,159;1,569159;1895,585;1,895585;82,78;293,927;348,961;0,842;1075,987;1,075987;79425,426;0,079425426;23,217;211,48;263,329;2;VP64;VP64_C21M1C263X5XS2Spines;PSD95-6ZF-VP64;23;#009E73
463,603;0,463603;1844,218;1,844218;25,138;763,034;1142,253;0,668;3472,875;3,472875;682472,64;0,68247264;258,705;446,819;37235,678;1;NoED;Jun142022_MAX_C2-NoED-M9-3X-1;PSD95-6ZF-NoED;23;#009E73
1043,763;1,043763;1839,897;1,839897;56,729;702,221;847,118;0,829;2486,917;2,486917;462663,616;0,462663616;89,436;157,124;159,799;1;NoED;NoED_C2--500-M3-3X_1-1;PSD95-6ZF-NoED;23;#009E73
880,919;0,880919;1801,907;1,801907;48,888;771,923;1225,68;0,63;3328,923;3,328923;717548,211;0,717548211;59,81;298,784;16457,816;2;NoED;May032022_NoED_100_C2M1.8-1-1;PSD95-6ZF-NoED;23;#009E73
1175,714;1,175714;1799,285;1,799285;65,343;638,289;685,341;0,931;2217,128;2,217128;351459,532;0,351459532;225,639;480,226;5386,976;1;VP64;Jun142022_MAX_C2-VP64-M7-3X-1;PSD95-6ZF-VP64;23;#009E73
655,875;0,655875;1781,845;1,781845;36,809;731,541;1459,724;0,501;4138,422;4,138422;845396,6;0,8453966;222,456;295,101;295,66;2;VP64;May_032022_VP64_100_M2_3X-1-2-1;PSD95-6ZF-VP64;23;#009E73
1302,302;1,302302;1770,298;1,770298;73,564;384,48;463,452;0,829;1752,573;1,752573;140079,17;0,14007917;35,745;180,425;33079,946;2;VP64;VP64_C21M1C263X5XS2Spines;PSD95-6ZF-VP64;22;#E69F00
1238,129;1,238129;1767,955;1,767955;70,32;556,929;663,477;0,839;1973,201;1,973201;287223,539;0,287223539;72,363;72,363;72,363;2;VP64;VP64_C21M1C163X5XS1Spines;PSD95-6ZF-VP64;23;#009E73
1312,32;1,31232;1750,498;1,750498;74,952;669,829;763,511;0,877;2355,46;2,35546;379620,582;0,379620582;51,532;248,565;9763,932;2;NoED;May032022_NoED_100_C2M1.8-1-1;PSD95-6ZF-NoED;23;#009E73
