#;ID;Short_ID;Bith date;Genotyoe;Sex;Virus;ATF;Viral Batch ;ExpCode_1;ExpCode_2;ExpCode_3;ExpCode_4;ExpCode_5;ExpCode_6;ExpCode_7;Binding;Symbol;ColorCode
226;289838715;;05-05-2022;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Nov 2021;;CLPS;;;;;;;23;#E69F00
4;289752613;;06-03-2020;Htt+;Macho;NoED;PSD95-6ZF-NoED;Oct 2019;WGHT;;;;;;;;24;#E69F00
5;289752985;;06-03-2020;Htt+;Macho;NoED;PSD95-6ZF-NoED;Oct 2019;WGHT;;;;;;;;24;#E69F00
171;7223;7223;08-06-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;QP14;;BHRR6;BHRR9;BO07;BHBM;S14;;22;#009E73
16;286999645;;09-03-2020;Htt+;Macho;NoED;PSD95-6ZF-NoED;Oct 2019;WGHT;;;;;;;;24;#E69F00
19;289847190;;09-03-2020;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Oct 2019;WGHT;;;;;;;;24;#E69F00
42;286992078;2078;08-01-2021;Htt+;Macho;NoED;PSD95-6ZF-NoED;Dec 2020;WGHT;BHRR6;;;;;;;22;#E69F00
36;287523931;;06-01-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;WB14;WGHT;;;;;;;22;#E69F00
39;289838839;;06-01-2021;Htt+;Macho;NoED;PSD95-6ZF-NoED;Dec 2020;WGHT;;;;;;;;22;#E69F00
44;289838226;;08-01-2021;Htt+;Macho;NoED;PSD95-6ZF-NoED;Dec 2020;WGHT;BHRR6;;;;;;;22;#E69F00
60;289838895;;14-01-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;WGHT;;;;;;;;22;#E69F00
61;289846385;;14-01-2021;Htt+;Macho;NoED;PSD95-6ZF-NoED;Dec 2020;WGHT;;;;;;;;22;#E69F00
80;6362;;16-01-2021;Htt+;Macho;NoED;PSD95-6ZF-NoED;Dec 2020;WGHT;;;;;;;;22;#E69F00
167;289838817;;29-05-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;WGHT;;;;;;;;22;#E69F00
168;289838887;;29-05-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;WGHT;;;;;;;;22;#E69F00
193;289838930;;16-06-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;Dec 2020;;BHRR6;KI;;;;;;22;#E69F00
95;289839003;;10-03-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;KI;;;;;;;;22;#009E73
96;289896553;;10-03-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;KI;;;;;;;;22;#009E73
104;286823797;;12-03-2021;Htt+;Macho;VP64;PSD95-6ZF-VP64;Dec 2020;WGHT;;;;;;;;22;#009E73
105;289838295;;12-03-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;KI;;;;;;;;22;#009E73
113;286868693;;14-03-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;KI;;;;;;;;22;#009E73
120;289838971;;15-03-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;WGHT;;BHRR6;BHRR9;WB14;BHBM;;;22;#009E73
121;289838941;;15-03-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;WGHT;;BHRR6;BHRR9;WB14;BHBM;;;22;#009E73
130;289756720;;22-03-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;WGHT;;;;;;;;22;#009E73
31;289756386;;04-01-2021;Htt+;Macho;VP64;PSD95-6ZF-VP64;Dec 2020;WGHT;;;;;;;;22;#009E73
151;287523931;;27-05-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;WGHT;;;;;;;;22;#009E73
152;289838515;;27-05-2021;Htt+;Macho;VP64;PSD95-6ZF-VP64;Dec 2020;BHRR;BHBM;;;;;;;22;#009E73
227;289847190;;05-05-2022;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Nov 2021;;CLPS;;;;;;;23;#009E73
8;289753057;;06-03-2020;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Oct 2019;WGHT;;BHRR6;BHRR9;WB14;BHBM;;;24;#009E73
9;289752664;;06-03-2020;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Oct 2019;WGHT;;;;;;;;24;#009E73
18;289752191;;09-03-2020;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Oct 2019;WGHT;;;;;;;;24;#009E73
20;289490068;;09-03-2020;Htt+;Macho;VP64;PSD95-6ZF-VP64;Oct 2019;WGHT;;;;;;;;24;#009E73
40;289838515;;06-01-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;KI;;;;;;;;22;#009E73
45;289838930;;08-01-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;KI;;;;;;;;22;#009E73
46;289838342;;08-01-2021;Htt+;Macho;VP64;PSD95-6ZF-VP64;Dec 2020;WGHT;;;;;;;;22;#009E73
62;289846814;;14-01-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;KI;;;;;;;;22;#009E73
85;7134;;16-01-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;KI;;;;;;;;22;#009E73
163;289838416;;28-05-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;WGHT;;;;;;;;22;#009E73
169;289838910;;29-05-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;Dec 2020;WGHT;;;;;;;;22;#009E73
;wta;wta;02-09-2021;Htt-;Hembra;NI;HTT-NI;;;WB14;;;;;S14;;21;#0C7BDC
;wtb;wtb;02-09-2021;Htt-;Hembra;NI;HTT-NI;;;WB14;;;;;S14;;21;#0C7BDC
;vp64a;vp64a;02-09-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;;;WB14;;;;;S14;;21;#009E73
;vp64b;vp64b;02-09-2021;Htt+;Hembra;VP64;PSD95-6ZF-VP64;;;WB14;;;;;S14;;21;#009E73
;htta;htta;02-09-2021;Htt+;Hembra;NI;HTT+NI;;;WB14;;;;;S14;;21;#009E73
;httb;httb;02-09-2021;Htt+;Hembra;NI;HTT+NI;;;WB14;;;;;S14;;21;#009E73
;noeda;noeda;02-09-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;;;WB14;;;;;S14;;21;#E69F00
;noedb;noedb;02-09-2021;Htt+;Hembra;NoED;PSD95-6ZF-NoED;;;WB14;;;;;S14;;21;#E69F00
;;;;;;;;;;;;;;;;;;
